# col1                    col2        col3         col4     col5     col6     col7     col8     col9     col10    col11    col12    col13   col14   col15   col16   col17   col18   wmin   Starflag  
  EDCSNJ1103595-1245244   11.066521   -12.756773   25.159   24.842   24.488   24.909   24.701   24.218   24.885   24.566   24.179   0       0       0       0.97    0.98    0.95    0.01   0         
  EDCSNJ1103594-1249292   11.066506   -12.824768   24.416   23.667   23.017   24.312   23.581   22.951   24.569   23.657   23.043   0       0       0       0.82    0.98    0.98    0.0    0         
  EDCSNJ1103595-1246072   11.06652    -12.768671   24.535   24.327   24.045   24.22    23.991   23.779   23.949   23.788   23.647   3       3       3       0.94    0.94    0.97    0.01   0         
  EDCSNJ1103595-1247425   11.066517   -12.795142   23.207   22.814   22.371   22.856   22.476   22.022   22.811   22.442   21.966   0       0       0       0.06    0.07    0.78    0.0    0         
  EDCSNJ1103594-1243300   11.066502   -12.724994   25.379   24.703   24.277   24.815   24.28    23.915   24.71    24.27    24.353   0       0       0       0.68    0.81    0.96    0.01   0         
  EDCSNJ1103594-1248324   11.066509   -12.808997   28.351   26.459   25.533   28.3     26.089   25.687   26.888   25.531   25.496   0       0       0       0.35    0.35    0.51    0.0    0         
  EDCSNJ1103594-1244002   11.066504   -12.733379   26.845   26.016   24.647   26.061   25.368   24.389   25.452   24.939   24.323   3       3       3       0.43    0.61    0.96    0.01   0         
  EDCSNJ1103594-1246305   11.066512   -12.775129   26.102   25.578   25.289   25.557   25.191   25.046   25.606   24.934   24.784   0       0       0       0.48    0.89    0.62    0.01   0         
  EDCSNJ1103594-1243150   11.066488   -12.72083    26.273   25.448   25.044   26.201   25.387   24.83    26.162   25.314   24.767   0       0       0       0.42    0.95    0.69    0.01   0         
  EDCSNJ1103594-1249235   11.066493   -12.823203   24.758   24.316   23.562   24.6     24.084   23.218   24.42    23.964   23.139   2       2       2       0.94    0.97    0.97    0.0    0         
  EDCSNJ1103593-1242542   11.066479   -12.715048   27.104   26.557   25.445   27.126   26.194   25.227   27.405   27.24    25.18    0       0       0       0.36    0.36    0.59    0.01   0         
  EDCSNJ1103594-1246088   11.066504   -12.769118   25.034   24.716   24.543   24.627   24.404   24.123   24.29    24.145   23.81    3       3       3       0.9     0.93    0.96    0.01   0         
  EDCSNJ1103593-1243206   11.066481   -12.722376   27.649   27.223   25.72    99.0     27.869   27.704   27.912   27.134   26.355   0       0       0       0.36    0.36    0.61    0.01   0         
  EDCSNJ1103593-1242317   11.066465   -12.708799   28.025   32.285   25.872   26.165   26.817   25.214   25.415   24.899   24.976   0       0       0       0.38    0.56    0.61    0.0    0         
  EDCSNJ1103593-1243071   11.066472   -12.718637   25.756   25.34    24.944   25.124   25.005   24.633   24.816   24.774   24.384   0       0       0       0.37    0.95    0.91    0.01   0         
  EDCSNJ1103594-1247020   11.066493   -12.783889   25.526   25.188   24.989   25.193   25.131   24.91    25.001   25.457   24.925   0       0       0       0.71    0.96    0.87    0.01   0         
  EDCSNJ1103594-1246381   11.066492   -12.777256   26.356   25.919   25.782   26.172   25.665   25.576   25.41    24.964   25.046   0       0       0       0.5     0.7     0.56    0.01   0         
  EDCSNJ1103593-1248123   11.066486   -12.803415   25.996   25.84    25.344   25.18    25.428   25.287   24.876   25.19    24.62    0       0       0       0.57    0.66    0.52    0.0    0         
  EDCSNJ1103593-1248160   11.066482   -12.804436   26.188   25.59    25.16    25.401   24.946   24.38    24.923   24.524   24.036   0       0       0       0.45    0.62    0.48    0.0    0         
  EDCSNJ1103593-1243585   11.066475   -12.732923   24.905   23.923   23.081   24.223   23.37    22.597   24.072   23.214   22.538   2       2       2       0.02    0.03    0.04    0.01   0         
  EDCSNJ1103593-1244471   11.066482   -12.746426   27.576   26.622   25.723   26.966   26.187   25.729   26.77    25.773   25.688   0       0       0       0.37    0.5     0.58    0.01   0         
  EDCSNJ1103593-1243272   11.066468   -12.724231   25.585   24.729   24.354   25.302   24.56    24.296   24.955   24.398   24.368   0       0       0       0.83    0.97    0.95    0.01   0         
  EDCSNJ1103593-1245520   11.066481   -12.764443   24.974   24.416   23.759   24.843   24.186   23.645   24.885   24.181   23.584   0       0       0       0.74    0.98    0.97    0.01   0         
  EDCSNJ1103593-1247128   11.066479   -12.786896   25.297   24.857   24.363   25.021   24.736   24.296   24.863   24.8     24.594   0       0       0       0.55    0.98    0.95    0.01   0         
  EDCSNJ1103593-1246231   11.066478   -12.773089   26.48    26.238   26.12    26.446   26.615   25.941   26.668   27.319   25.911   0       0       0       0.46    0.63    0.49    0.01   0         
  EDCSNJ1103593-1249081   11.066464   -12.81893    24.545   23.929   23.176   24.229   23.629   22.902   24.191   23.608   22.882   0       0       0       0.11    0.8     0.67    0.0    0         
  EDCSNJ1103593-1247272   11.066473   -12.790883   26.99    26.311   25.757   26.556   26.043   25.652   26.376   25.867   25.752   0       0       0       0.38    0.58    0.49    0.01   0         
  EDCSNJ1103593-1249169   11.06646    -12.821366   25.419   24.876   24.506   25.417   24.698   24.583   25.198   24.841   24.685   0       0       0       0.84    0.96    0.94    0.0    0         
  EDCSNJ1103593-1245386   11.066462   -12.760713   23.711   23.362   22.985   23.107   22.769   22.402   22.962   22.659   22.304   0       0       0       0.03    0.03    0.03    0.01   0         
  EDCSNJ1103593-1246096   11.066463   -12.769333   26.062   26.049   25.634   25.595   25.774   24.987   25.473   25.358   24.348   0       0       0       0.45    0.61    0.51    0.01   0         
  EDCSNJ1103593-1246550   11.06646    -12.781943   25.265   24.96    24.503   25.035   24.685   24.386   25.014   24.656   24.391   0       0       0       0.95    0.9     0.97    0.01   0         
  EDCSNJ1103592-1244385   11.066452   -12.744031   24.214   23.398   22.575   24.018   23.218   22.436   23.964   23.228   22.431   3       3       3       0.98    0.98    0.98    0.01   0         
  EDCSNJ1103592-1245188   11.066456   -12.755236   24.787   23.753   22.337   24.103   23.115   21.762   23.962   22.956   21.617   0       0       0       0.33    0.09    0.65    0.01   0         
  EDCSNJ1103592-1246414   11.066456   -12.778169   24.947   24.463   24.111   24.587   24.16    24.02    24.67    23.983   23.963   3       3       3       0.97    0.95    0.97    0.01   0         
  EDCSNJ1103592-1244243   11.066447   -12.740082   26.457   25.917   25.592   26.327   25.748   26.157   26.244   26.512   99.0     0       0       0       0.43    0.65    0.62    0.01   0         
  EDCSNJ1103592-1244484   11.06645    -12.746791   30.937   27.785   25.287   29.034   27.068   25.026   99.0     27.213   25.912   0       0       0       0.36    0.36    0.6     0.01   0         
  EDCSNJ1103592-1244556   11.06645    -12.748788   25.792   25.373   25.008   25.703   25.127   24.796   25.653   25.103   24.573   0       0       0       0.39    0.42    0.49    0.01   0         
  EDCSNJ1103592-1244129   11.066444   -12.736911   24.482   24.225   23.854   24.15    23.861   23.608   24.058   23.771   23.712   0       0       0       0.9     0.87    0.97    0.01   0         
  EDCSNJ1103592-1244040   11.066441   -12.734448   26.947   26.061   25.637   27.582   26.367   28.167   27.089   26.68    26.46    0       0       0       0.36    0.53    0.53    0.01   0         
  EDCSNJ1103592-1244525   11.066446   -12.747914   26.461   25.59    24.836   25.82    25.252   24.575   25.613   24.93    24.45    0       0       0       0.48    0.92    0.91    0.01   0         
  EDCSNJ1103592-1247095   11.066446   -12.785986   25.641   25.392   25.052   25.403   25.23    25.177   25.346   25.051   25.556   0       0       0       0.82    0.9     0.67    0.01   0         
  EDCSNJ1103592-1243550   11.066432   -12.731951   24.425   24.281   23.884   24.226   24.053   23.619   24.157   23.948   23.455   0       0       0       0.52    0.58    0.92    0.01   0         
  EDCSNJ1103592-1244312   11.066435   -12.741989   26.072   25.153   24.489   25.881   25.163   24.396   26.594   25.542   25.148   0       0       0       0.19    0.22    0.94    0.01   0         
  EDCSNJ1103591-1243063   11.066418   -12.718421   25.798   25.387   25.059   25.618   25.387   25.266   25.677   25.217   24.954   0       0       0       0.61    0.95    0.75    0.01   0         
  EDCSNJ1103591-1248568   11.066427   -12.815771   26.925   26.468   25.542   26.347   26.079   25.194   26.52    26.518   25.608   0       0       0       0.37    0.46    0.57    0.0    0         
  EDCSNJ1103592-1248032   11.066432   -12.800894   24.917   24.445   23.748   24.72    24.29    23.646   24.766   24.273   23.78    0       0       0       0.97    0.97    0.97    0.0    0         
  EDCSNJ1103591-1248214   11.066429   -12.805939   27.131   26.324   25.888   26.429   25.57    24.997   26.259   24.899   24.389   0       0       0       0.36    0.48    0.48    0.0    0         
