# col1                    col2        col3         col4     col5     col6     col7     col8     col9     col10    col11    col12    col13   col14   col15   col16   wmin   Starflag  
  EDCSNJ1059258-1249229   10.990505   -12.823033   25.864   -999.0   25.407   25.698   -999.0   26.506   26.101   -999.0   99.0     0       0       0.51    0.45    0.0    0         
  EDCSNJ1059258-1253356   10.990487   -12.893229   24.374   -999.0   22.726   23.987   -999.0   22.283   23.847   -999.0   22.116   3       3       0.96    0.02    0.0    0         
  EDCSNJ1059258-1249368   10.990495   -12.826897   25.774   -999.0   24.298   25.724   -999.0   24.343   25.541   -999.0   24.023   0       0       0.52    0.76    0.0    0         
  EDCSNJ1059257-1250061   10.990486   -12.835022   22.531   -999.0   21.39    21.92    -999.0   20.814   21.831   -999.0   20.723   0       0       0.03    0.03    0.0    0         
  EDCSNJ1059258-1249597   10.990487   -12.833247   23.457   -999.0   21.93    23.142   -999.0   21.619   23.064   -999.0   21.611   2       2       0.98    0.04    0.0    0         
  EDCSNJ1059257-1251486   10.990474   -12.863492   25.262   -999.0   23.878   25.219   -999.0   23.819   25.343   -999.0   24.112   0       0       0.69    0.16    0.0    0         
  EDCSNJ1059258-1254533   10.990505   -12.914815   24.894   -999.0   23.505   24.724   -999.0   23.204   24.648   -999.0   23.245   0       0       0.79    0.36    0.0    0         
  EDCSNJ1059257-1252272   10.990471   -12.874214   25.342   -999.0   24.117   24.721   -999.0   23.529   24.411   -999.0   23.404   0       0       0.44    0.3     0.0    0         
  EDCSNJ1059258-1254331   10.990487   -12.909192   21.433   -999.0   19.858   21.219   -999.0   19.656   21.175   -999.0   19.618   0       0       0.98    0.98    0.0    0         
  EDCSNJ1059256-1252078   10.990451   -12.868841   25.517   -999.0   23.907   25.316   -999.0   23.585   25.071   -999.0   23.427   0       0       0.54    0.39    0.0    0         
  EDCSNJ1059256-1253219   10.990454   -12.889426   26.865   -999.0   24.416   26.006   -999.0   24.319   26.106   -999.0   24.407   0       0       0.44    0.57    0.0    0         
  EDCSNJ1059257-1249311   10.990466   -12.825299   25.195   -999.0   24.566   24.758   -999.0   24.12    24.796   -999.0   24.02    0       0       0.49    0.37    0.0    0         
  EDCSNJ1059257-1254409   10.990467   -12.911349   24.307   -999.0   23.611   23.945   -999.0   23.196   23.969   -999.0   23.236   0       0       0.48    0.01    0.0    0         
  EDCSNJ1059256-1250210   10.990445   -12.839169   23.421   -999.0   21.748   22.949   -999.0   21.358   22.783   -999.0   21.238   2       2       0.77    0.05    0.0    0         
  EDCSNJ1059256-1250008   10.990441   -12.833543   25.32    -999.0   24.116   24.759   -999.0   23.559   24.68    -999.0   23.826   3       3       0.59    0.13    0.0    0         
  EDCSNJ1059255-1252050   10.990419   -12.868044   27.008   -999.0   26.076   26.673   -999.0   26.905   27.084   -999.0   27.335   0       0       0.45    0.47    0.0    0         
  EDCSNJ1059255-1253330   10.990413   -12.8925     24.197   -999.0   21.672   23.828   -999.0   21.379   23.581   -999.0   21.271   3       3       0.96    0.71    0.0    0         
  EDCSNJ1059255-1251139   10.990409   -12.85387    25.093   -999.0   23.875   24.801   -999.0   23.818   24.626   -999.0   23.594   0       0       0.84    0.13    0.0    0         
  EDCSNJ1059255-1253389   10.990412   -12.894137   24.157   -999.0   22.297   23.665   -999.0   21.751   23.491   -999.0   21.637   3       3       0.97    0.12    0.0    0         
